target,function,SVM,GaussianProcess,KNeighbors,MLP
iris,F1Score,0.9734731186941714,0.9539329229800625,0.9537267279214424,0.9476793075353177
,Accuracy,0.9733333333333334,0.9533333333333334,0.9533333333333334,0.9466666666666667
sonar,F1Score,0.5236101788475305,0.809944132578092,0.767668179654455,0.7977158319244633
,Accuracy,0.5962833914053427,0.8124274099883856,0.7696864111498257,0.7987224157955864
glass,F1Score,0.627293530197447,0.6812741288977705,0.6459401091561464,0.19062722560513154
,Accuracy,0.6592469545957919,0.7057585825027686,0.6684385382059801,0.3554817275747508
airfoil,R2Score,0.09629459010357251,0.06973464779490342,0.22885090159259575,-0.0012487359791552688
,MeanSquared,-42.87748322011742,-44.0217759347267,-36.364857621488284,-47.587804470468384
winequality-red,R2Score,0.26287630357314046,0.23256999674707446,0.12961203697293938,0.25614798938166256
,MeanSquared,-0.47711943666365003,-0.4979449643417023,-0.5640938087774294,-0.48356171260295644
winequality-white,R2Score,0.2982734348552111,0.24999137942697325,0.1504382467980769,0.24840687567537506
,MeanSquared,-0.5501321952879337,-0.5879996100398922,-0.6655329344812492,-0.5885296153431426
